table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
2012_1_column_meta,1,table_id,table_id,str,,False,,,,,
2012_1_column_meta,2,line_number,line_number,float,,False,,,,,
2012_1_column_meta,3,column_id,column_id,str,,False,,,,,
2012_1_column_meta,4,column_title,column_title,str,,False,,,,,
2012_1_column_meta,5,indent,indent,int,,False,,,,,
2012_1_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2012_1_table_meta,1,table_id,table_id,str,,False,,,,,
2012_1_table_meta,2,table_title,table_title,str,,False,,,,,
2012_1_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2012_1_table_meta,4,subject_area,subject_area,str,,False,,,,,
2012_1_table_meta,5,universe,universe,str,,False,,,,,
2012_1_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2012_1_table_meta,7,topics,topics,str,,False,,,,,
2012_3_column_meta,1,table_id,table_id,str,,False,,,,,
2012_3_column_meta,2,line_number,line_number,float,,False,,,,,
2012_3_column_meta,3,column_id,column_id,str,,False,,,,,
2012_3_column_meta,4,column_title,column_title,str,,False,,,,,
2012_3_column_meta,5,indent,indent,int,,False,,,,,
2012_3_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2012_3_table_meta,1,table_id,table_id,str,,False,,,,,
2012_3_table_meta,2,table_title,table_title,str,,False,,,,,
2012_3_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2012_3_table_meta,4,subject_area,subject_area,str,,False,,,,,
2012_3_table_meta,5,universe,universe,str,,False,,,,,
2012_3_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2012_3_table_meta,7,topics,topics,str,,False,,,,,
2012_5_column_meta,1,table_id,table_id,str,,False,,,,,
2012_5_column_meta,2,line_number,line_number,float,,False,,,,,
2012_5_column_meta,3,column_id,column_id,str,,False,,,,,
2012_5_column_meta,4,column_title,column_title,str,,False,,,,,
2012_5_column_meta,5,indent,indent,int,,False,,,,,
2012_5_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2012_5_table_meta,1,table_id,table_id,str,,False,,,,,
2012_5_table_meta,2,table_title,table_title,str,,False,,,,,
2012_5_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2012_5_table_meta,4,subject_area,subject_area,str,,False,,,,,
2012_5_table_meta,5,universe,universe,str,,False,,,,,
2012_5_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2012_5_table_meta,7,topics,topics,str,,False,,,,,
2012-1-sequence,1,file_id,fileid,str,,False,,,,,
2012-1-sequence,2,table_id,table_id,str,,False,,,,,
2012-1-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2012-1-sequence,4,line_number,line,float,,False,,,,,
2012-1-sequence,5,start_position,start,int,,False,,,,,
2012-1-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2012-1-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2012-1-sequence,8,table_title,title,str,,False,,,,,
2012-1-sequence,9,subject_area,subject,str,,False,,,,,
2012-1-shell,1,table_id,table_id,str,,False,,,,,
2012-1-shell,2,line,line,int,,False,,,,,
2012-1-shell,3,unique_id,unique_id,str,,False,,,,,
2012-1-shell,4,stub,stub,str,,False,,,,,
2012-3-sequence,1,file_id,fileid,str,,False,,,,,
2012-3-sequence,2,table_id,table_id,str,,False,,,,,
2012-3-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2012-3-sequence,4,line_number,line,float,,False,,,,,
2012-3-sequence,5,start_position,start,int,,False,,,,,
2012-3-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2012-3-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2012-3-sequence,8,table_title,title,str,,False,,,,,
2012-3-sequence,9,subject_area,subject,str,,False,,,,,
2012-3-shell,1,table_id,table_id,str,,False,,,,,
2012-3-shell,2,line,line,int,,False,,,,,
2012-3-shell,3,unique_id,unique_id,str,,False,,,,,
2012-3-shell,4,stub,stub,str,,False,,,,,
2012-5-sequence,1,file_id,fileid,str,,False,,,,,
2012-5-sequence,2,table_id,table_id,str,,False,,,,,
2012-5-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2012-5-sequence,4,line_number,line,float,,False,,,,,
2012-5-sequence,5,start_position,start,int,,False,,,,,
2012-5-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2012-5-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2012-5-sequence,8,table_title,title,str,,False,,,,,
2012-5-sequence,9,subject_area,subject,str,,False,,,,,
2012-5-shell,1,table_id,table_id,str,,False,,,,,
2012-5-shell,2,line,line,float,,False,,,,,
2012-5-shell,3,unique_id,unique_id,str,,False,,,,,
2012-5-shell,4,stub,stub,str,,False,,,,,
2012-gs,1,seq,seq,int,,False,,,,,
2012-gs,2,name,name,str,,False,,,,,
2012-gs,3,width,width,int,,False,,,,,
2012-gs,4,start,start,int,,False,,,,,
2012-gs,5,description,description,str,,False,,,,,
2013_1_column_meta,1,table_id,table_id,str,,False,,,,,
2013_1_column_meta,2,line_number,line_number,float,,False,,,,,
2013_1_column_meta,3,column_id,column_id,str,,False,,,,,
2013_1_column_meta,4,column_title,column_title,str,,False,,,,,
2013_1_column_meta,5,indent,indent,int,,False,,,,,
2013_1_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2013_1_table_meta,1,table_id,table_id,str,,False,,,,,
2013_1_table_meta,2,table_title,table_title,str,,False,,,,,
2013_1_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2013_1_table_meta,4,subject_area,subject_area,str,,False,,,,,
2013_1_table_meta,5,universe,universe,str,,False,,,,,
2013_1_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2013_1_table_meta,7,topics,topics,str,,False,,,,,
2013_3_column_meta,1,table_id,table_id,str,,False,,,,,
2013_3_column_meta,2,line_number,line_number,float,,False,,,,,
2013_3_column_meta,3,column_id,column_id,str,,False,,,,,
2013_3_column_meta,4,column_title,column_title,str,,False,,,,,
2013_3_column_meta,5,indent,indent,int,,False,,,,,
2013_3_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2013_3_table_meta,1,table_id,table_id,str,,False,,,,,
2013_3_table_meta,2,table_title,table_title,str,,False,,,,,
2013_3_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2013_3_table_meta,4,subject_area,subject_area,str,,False,,,,,
2013_3_table_meta,5,universe,universe,str,,False,,,,,
2013_3_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2013_3_table_meta,7,topics,topics,str,,False,,,,,
2013_5_column_meta,1,table_id,table_id,str,,False,,,,,
2013_5_column_meta,2,line_number,line_number,float,,False,,,,,
2013_5_column_meta,3,column_id,column_id,str,,False,,,,,
2013_5_column_meta,4,column_title,column_title,str,,False,,,,,
2013_5_column_meta,5,indent,indent,int,,False,,,,,
2013_5_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,
2013_5_table_meta,1,table_id,table_id,str,,False,,,,,
2013_5_table_meta,2,table_title,table_title,str,,False,,,,,
2013_5_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,
2013_5_table_meta,4,subject_area,subject_area,str,,False,,,,,
2013_5_table_meta,5,universe,universe,str,,False,,,,,
2013_5_table_meta,6,denominator_column_id,denominator_column_id,str,,False,,,,,
2013_5_table_meta,7,topics,topics,str,,False,,,,,
2013-1-sequence,1,file_id,fileid,str,,False,,,,,
2013-1-sequence,2,table_id,table_id,str,,False,,,,,
2013-1-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2013-1-sequence,4,line_number,line,float,,False,,,,,
2013-1-sequence,5,start_position,start,int,,False,,,,,
2013-1-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2013-1-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2013-1-sequence,8,table_title,title,str,,False,,,,,
2013-1-sequence,9,subject_area,subject,str,,False,,,,,
2013-1-shell,1,table_id,table_id,str,,False,,,,,
2013-1-shell,2,type,type,str,,False,,,,,
2013-1-shell,3,indent,indent,int,,False,,,,,
2013-1-shell,4,line_number,line,float,,False,,,,,
2013-1-shell,5,stub,stub,str,,False,,,,,
2013-1-shell,6,year,year,int,,False,,,,,
2013-3-sequence,1,file_id,fileid,str,,False,,,,,
2013-3-sequence,2,table_id,table_id,str,,False,,,,,
2013-3-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2013-3-sequence,4,line_number,line,float,,False,,,,,
2013-3-sequence,5,start_position,start,int,,False,,,,,
2013-3-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2013-3-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2013-3-sequence,8,table_title,title,str,,False,,,,,
2013-3-sequence,9,subject_area,subject,str,,False,,,,,
2013-3-shell,1,table_id,table_id,str,,False,,,,,
2013-3-shell,2,type,type,str,,False,,,,,
2013-3-shell,3,indent,indent,int,,False,,,,,
2013-3-shell,4,line_number,line,float,,False,,,,,
2013-3-shell,5,stub,stub,str,,False,,,,,
2013-3-shell,6,year,year,int,,False,,,,,
2013-5-sequence,1,file_id,fileid,str,,False,,,,,
2013-5-sequence,2,table_id,table_id,str,,False,,,,,
2013-5-sequence,3,sequence_number,sequence_number,int,,False,,,,,
2013-5-sequence,4,line_number,line,float,,False,,,,,
2013-5-sequence,5,start_position,start,int,,False,,,,,
2013-5-sequence,6,total_cells_in_table,table_cells,str,,False,,,,,
2013-5-sequence,7,total_cells_in_sequence,sequence_cells,int,,False,,,,,
2013-5-sequence,8,table_title,title,str,,False,,,,,
2013-5-sequence,9,subject_area,subject,str,,False,,,,,
2013-5-shell,1,table_id,table_id,str,,False,,,,,
2013-5-shell,2,type,type,str,,False,,,,,
2013-5-shell,3,indent,indent,int,,False,,,,,
2013-5-shell,4,line_number,line,float,,False,,,,,
2013-5-shell,5,stub,stub,str,,False,,,,,
2013-5-shell,6,year,year,int,,False,,,,,
2013-gs,1,seq,seq,int,,False,,,,,
2013-gs,2,name,name,str,,False,,,,,
2013-gs,3,description,description,str,,False,,,,,
2013-gs,4,width,width,int,,False,,,,,
2013-gs,5,start,start,int,,False,,,,,
2014_1_column_meta,1,table_id,table_id,str,,False,,,,,table_id
2014_1_column_meta,2,line_number,line_number,float,,False,,,,,line_number
2014_1_column_meta,3,column_id,column_id,str,,False,,,,,column_id
2014_1_column_meta,4,column_title,column_title,str,,False,,,,,column_title
2014_1_column_meta,5,indent,indent,int,,False,,,,,indent
2014_1_column_meta,6,parent_column_id,parent_column_id,str,,False,,,,,parent_column_id
2014_1_table_meta,1,table_id,table_id,str,,False,,,,,table_id
2014_1_table_meta,2,table_title,table_title,str,,False,,,,,table_title
2014_1_table_meta,3,simple_table_title,simple_table_title,str,,False,,,,,simple_table_title
